Ssn,Sex,Salary,Bdate,Super_ssn,Dno
0,0,67000,71249,105,10
1,0,97000,56597,46,7
2,1,73000,56074,100,4
3,1,89000,59400,46,9
4,0,52000,68072,10,4
5,0,47000,63329,154,6
6,1,70000,67996,48,1
7,0,53000,65404,111,2
8,0,86000,60167,36,7
9,1,86000,63159,128,3
10,0,56000,60189,2,7
11,1,28000,58725,110,7
12,0,43000,57245,85,6
13,1,97000,55199,148,2
14,1,63000,70372,93,6
15,1,62000,68661,38,10
16,1,88000,69102,3,9
17,1,77000,60220,73,10
18,0,44000,63729,89,6
19,1,52000,57856,51,10
20,0,46000,70221,75,6
21,0,42000,67826,48,9
22,1,66000,63516,46,7
23,0,89000,64305,113,10
24,1,42000,69789,16,9
25,0,72000,71383,81,1
26,0,91000,67814,105,6
27,0,30000,65571,103,9
28,0,76000,57220,65,1
29,0,95000,67441,131,7
30,1,78000,64748,94,3
31,1,87000,61599,138,2
32,1,96000,71048,47,2
33,1,28000,67722,35,3
34,0,94000,68097,92,10
35,0,27000,66369,75,8
36,0,25000,57496,155,8
37,0,55000,68971,136,7
38,1,97000,67975,66,2
39,0,43000,68653,124,3
40,1,84000,55227,126,3
41,0,65000,58576,85,1
42,1,66000,56474,89,6
43,0,91000,62860,90,9
44,0,27000,68787,44,6
45,1,84000,64748,49,6
46,1,49000,61146,78,5
47,0,50000,67283,85,7
48,1,94000,71648,135,5
49,0,80000,67711,20,3
50,0,50000,70645,156,8
51,1,39000,71527,57,8
52,1,79000,67404,121,6
53,1,41000,70897,20,2
54,0,72000,66229,110,9
55,0,49000,64136,59,5
56,0,41000,58214,9,4
57,1,28000,57489,137,6
58,0,69000,71308,50,3
59,0,81000,66390,115,7
60,0,83000,67190,140,1
61,0,38000,67129,115,8
62,0,38000,69388,9,5
63,0,90000,66950,126,2
64,0,95000,58790,109,10
65,0,33000,59303,79,8
66,1,74000,70389,29,10
67,1,90000,58040,33,5
68,1,56000,70688,119,10
69,1,73000,60445,63,9
70,0,44000,64341,149,7
71,1,78000,64978,103,2
72,1,90000,57293,81,7
73,0,94000,58605,79,9
74,0,88000,70811,151,6
75,1,97000,67878,82,10
76,1,56000,59297,97,4
77,1,87000,62306,13,2
78,1,72000,69601,35,4
79,1,89000,62455,112,7
80,1,69000,58015,159,7
81,0,66000,66404,40,8
82,0,28000,66449,94,10
83,0,93000,62044,61,7
84,0,85000,70069,97,6
85,1,27000,64391,134,4
86,1,42000,68307,87,7
87,0,33000,55003,150,4
88,1,86000,64123,33,10
89,0,88000,66929,8,6
90,0,64000,68649,148,6
91,0,29000,70556,83,10
92,0,69000,62503,120,9
93,0,39000,66175,129,9
94,0,25000,69835,100,4
95,1,30000,69604,139,6
96,1,91000,58423,137,3
97,1,25000,63927,90,8
98,0,29000,59535,71,2
99,0,51000,59334,15,9
100,1,36000,70554,13,6
101,1,88000,65825,86,2
102,1,34000,71938,33,4
103,1,75000,59734,152,6
104,0,56000,61949,24,8
105,0,97000,58766,119,7
106,0,31000,67866,136,3
107,0,26000,69747,134,10
108,0,94000,70811,140,3
109,0,35000,56633,41,6
110,0,100000,69049,35,4
111,1,84000,67256,67,2
112,1,39000,69258,2,5
113,0,66000,65535,123,2
114,1,78000,58492,107,9
115,1,46000,66126,105,4
116,1,31000,58202,3,10
117,1,44000,67880,63,5
118,1,59000,66966,50,1
119,0,72000,58412,12,9
120,1,29000,63467,148,5
121,0,47000,66252,140,4
122,0,30000,68845,103,5
123,1,85000,63431,80,7
124,0,40000,70734,138,4
125,1,77000,65359,56,7
126,1,92000,59443,89,8
127,1,98000,69302,61,5
128,0,37000,69398,106,4
129,1,45000,66986,130,6
130,1,38000,60148,82,7
131,1,79000,71380,58,1
132,0,57000,67449,142,5
133,1,52000,61562,85,2
134,1,54000,71246,34,6
135,0,80000,65467,44,10
136,0,90000,58137,70,1
137,0,93000,56176,84,2
138,1,86000,60901,72,7
139,0,29000,68262,132,6
140,1,30000,63068,156,6
141,0,30000,67796,90,4
142,0,52000,65666,114,4
143,1,96000,57174,20,1
144,0,64000,65070,70,9
145,1,93000,55159,66,6
146,1,44000,59925,149,9
147,1,43000,63924,99,7
148,1,79000,59666,130,1
149,0,38000,62487,5,2
150,0,39000,57333,32,3
151,0,75000,67698,32,4
152,0,87000,60678,142,2
153,1,55000,60819,83,6
154,0,100000,55065,124,2
155,0,48000,66900,80,7
156,0,89000,70088,143,2
157,1,46000,60822,57,9
158,1,65000,59359,27,2
159,0,68000,70902,57,7
