Ssn,Sex,Salary,Bdate,Super_ssn,Dno
0,1,129000,60979,131,24
1,1,64000,57455,37,28
2,0,148000,64319,73,23
3,1,136000,67204,85,5
4,0,63000,67381,80,23
5,0,120000,62649,177,11
6,1,145000,56089,155,10
7,0,159000,65073,129,27
8,1,179000,68346,74,15
9,1,123000,70121,105,16
10,1,107000,59095,95,22
11,0,175000,67417,115,19
12,1,110000,61099,164,14
13,1,35000,69552,79,23
14,0,45000,59436,109,24
15,1,77000,68574,64,12
16,1,74000,66918,4,22
17,0,150000,57659,30,9
18,0,68000,70159,65,1
19,0,85000,57615,69,9
20,0,192000,64035,55,29
21,1,181000,70371,12,18
22,1,154000,57479,31,23
23,0,180000,66037,12,9
24,0,37000,59741,158,2
25,0,100000,58301,21,16
26,1,109000,68978,83,14
27,0,129000,64796,169,18
28,1,127000,69052,176,14
29,0,187000,62484,111,9
30,0,161000,68416,178,19
31,0,112000,69074,143,18
32,0,136000,70632,125,19
33,1,33000,57542,73,11
34,1,198000,56469,28,14
35,1,169000,65707,71,27
36,0,107000,55448,59,5
37,1,172000,55833,81,16
38,0,45000,71005,120,30
39,0,76000,60188,101,24
40,1,111000,59424,22,10
41,0,64000,67725,78,29
42,1,139000,69198,105,28
43,1,187000,64386,110,29
44,0,81000,67330,122,20
45,1,45000,59896,55,5
46,1,96000,55603,130,25
47,0,107000,65773,113,16
48,1,143000,64019,55,21
49,0,93000,61951,59,13
50,1,192000,58310,147,22
51,0,70000,61299,121,2
52,0,181000,56540,21,20
53,0,96000,57828,94,28
54,0,99000,68097,99,27
55,1,101000,71355,15,9
56,1,151000,57637,80,27
57,1,50000,57634,47,19
58,0,169000,61240,16,30
59,0,29000,57587,166,23
60,0,71000,71813,189,26
61,0,55000,63805,22,24
62,1,55000,61908,83,26
63,0,109000,64221,130,29
64,1,127000,64726,154,18
65,0,135000,65025,127,11
66,1,32000,66904,186,15
67,1,92000,58801,69,29
68,1,76000,56023,49,27
69,0,169000,55781,85,27
70,0,134000,60422,8,25
71,0,85000,68126,180,15
72,1,94000,65952,111,26
73,0,104000,55208,153,19
74,0,153000,70946,178,13
75,1,169000,56547,63,10
76,1,105000,67538,52,12
77,0,54000,60107,84,23
78,1,52000,58858,143,22
79,0,197000,55271,176,18
80,0,146000,62948,153,1
81,0,89000,66315,147,7
82,0,53000,57414,73,22
83,1,196000,67306,9,10
84,0,109000,59476,194,8
85,0,125000,66073,113,6
86,0,106000,61398,25,6
87,1,91000,57333,176,25
88,1,75000,65686,148,30
89,0,122000,59856,162,6
90,1,199000,57561,79,22
91,0,126000,69478,128,20
92,1,42000,67151,153,19
93,0,188000,63949,72,10
94,1,65000,64877,159,10
95,1,173000,64545,78,23
96,1,79000,60348,72,25
97,0,168000,65709,172,18
98,0,178000,56804,197,18
99,0,142000,71552,81,7
100,1,62000,55080,78,9
101,0,95000,65243,64,19
102,0,30000,56969,100,26
103,1,143000,61666,139,6
104,0,90000,65331,180,17
105,0,52000,66820,187,15
106,1,157000,59936,47,23
107,0,125000,67290,70,27
108,1,53000,65557,47,24
109,1,137000,58979,108,5
110,0,64000,71476,177,29
111,0,174000,65901,50,30
112,0,139000,71178,161,8
113,1,153000,63951,134,2
114,1,151000,68954,144,8
115,1,112000,58924,103,11
116,1,149000,66572,34,30
117,1,49000,60588,146,12
118,1,157000,68206,77,6
119,1,46000,65064,156,27
120,1,169000,71579,146,7
121,1,144000,66987,12,10
122,1,80000,70765,155,5
123,0,78000,66178,95,24
124,0,185000,66278,130,29
125,1,76000,71825,103,19
126,1,44000,67925,109,15
127,0,118000,64471,11,5
128,0,149000,71486,150,26
129,0,153000,65606,143,13
130,1,33000,61205,6,12
131,1,134000,59519,156,23
132,0,85000,60531,38,21
133,0,45000,60499,12,12
134,1,68000,69056,12,24
135,0,158000,55487,0,4
136,0,121000,62279,29,15
137,1,166000,56028,184,11
138,0,175000,57759,42,5
139,0,125000,59304,132,6
140,0,113000,57160,98,2
141,0,58000,63299,55,27
142,0,139000,56305,191,14
143,1,101000,71970,31,8
144,0,114000,55281,45,5
145,0,153000,65670,160,30
146,1,139000,67905,79,14
147,1,187000,55907,197,11
148,0,55000,61561,161,1
149,1,164000,56544,175,16
150,0,87000,70990,85,15
151,1,78000,59058,7,7
152,0,161000,63612,11,21
153,0,98000,55859,146,9
154,0,72000,61325,101,20
155,0,181000,71130,8,2
156,0,47000,67147,134,11
157,1,170000,68851,51,14
158,1,79000,65152,125,6
159,1,74000,62112,103,9
160,0,66000,55030,69,15
161,0,158000,58169,196,24
162,1,127000,56835,116,29
163,0,141000,66892,80,24
164,0,154000,66305,81,21
165,0,66000,61682,163,7
166,0,77000,58714,44,15
167,0,115000,67536,126,8
168,0,107000,66975,155,26
169,0,53000,62356,139,4
170,0,110000,61356,74,28
171,0,130000,69673,0,11
172,0,55000,66245,53,8
173,0,47000,55811,34,12
174,1,55000,63825,54,19
175,1,88000,64535,86,16
176,0,113000,61767,31,30
177,1,165000,68638,146,12
178,0,31000,69544,180,3
179,0,175000,69443,199,24
180,1,48000,65426,43,7
181,0,113000,64425,83,5
182,0,109000,59717,34,28
183,0,144000,64782,156,7
184,0,164000,65133,192,29
185,0,51000,68585,12,26
186,1,61000,55874,8,7
187,1,147000,62693,47,8
188,1,197000,71250,135,22
189,1,95000,57672,191,20
190,0,99000,61226,107,4
191,1,45000,59911,121,5
192,1,142000,65768,103,15
193,1,28000,64605,91,3
194,1,159000,62198,186,23
195,0,148000,57450,113,14
196,1,161000,63222,177,22
197,0,153000,56935,113,17
198,1,139000,58492,96,2
199,0,167000,62058,180,1
