Ssn,Sex,Salary,Bdate,Super_ssn,Dno
0,1,62000,66388,88,8
1,1,71000,69713,54,6
2,0,79000,63544,0,1
3,0,54000,64768,35,8
4,0,40000,62287,95,2
5,0,95000,60699,45,1
6,0,92000,58908,93,4
7,1,58000,64488,47,5
8,0,72000,65009,95,10
9,1,48000,71428,63,4
10,0,96000,63128,73,10
11,1,87000,71131,49,9
12,1,74000,65771,31,9
13,1,28000,63022,38,6
14,1,58000,71550,37,9
15,1,68000,64338,20,2
16,0,68000,56086,93,3
17,0,28000,64484,32,10
18,1,84000,70857,8,8
19,1,62000,61404,2,4
20,0,80000,55461,67,1
21,1,100000,55364,58,4
22,0,35000,61850,19,7
23,0,48000,60468,95,8
24,1,71000,55074,75,2
25,1,27000,61792,80,5
26,1,36000,69048,58,10
27,0,60000,55653,11,5
28,0,93000,66076,89,10
29,1,80000,62415,37,4
30,0,61000,56492,58,7
31,0,43000,57151,54,10
32,1,76000,67517,58,10
33,0,38000,70110,35,1
34,1,39000,61709,18,8
35,1,54000,69006,88,6
36,0,50000,67717,52,3
37,0,70000,56657,71,10
38,1,82000,58679,73,1
39,0,51000,59324,33,10
40,0,41000,63974,26,6
41,0,84000,68031,73,6
42,0,90000,66935,58,5
43,1,32000,63987,3,5
44,1,46000,55806,70,10
45,0,91000,71290,95,10
46,1,68000,71370,69,5
47,1,57000,68855,93,9
48,0,87000,61974,34,10
49,1,26000,69001,69,6
50,0,95000,70705,90,10
51,1,29000,62262,5,7
52,0,58000,58388,17,4
53,1,36000,58428,57,9
54,1,42000,59034,10,10
55,0,37000,58299,17,3
56,0,95000,69235,48,7
57,0,94000,67532,45,3
58,1,65000,63908,49,2
59,0,31000,57126,96,10
60,0,37000,61109,69,4
61,0,38000,55882,77,6
62,0,77000,69468,41,6
63,0,39000,56214,99,5
64,1,72000,67790,3,4
65,1,100000,59304,41,10
66,1,49000,66477,15,9
67,0,75000,62503,62,5
68,1,62000,66379,68,8
69,1,43000,61460,94,4
70,1,29000,59337,7,4
71,1,63000,58649,27,10
72,1,57000,60960,54,7
73,0,76000,58051,72,2
74,0,77000,56044,47,7
75,1,84000,68356,77,2
76,1,38000,70797,45,6
77,0,67000,64588,6,9
78,0,89000,63348,23,8
79,1,61000,62436,43,3
80,1,93000,62236,92,3
81,0,57000,58334,50,2
