Ssn, Sex, Salary, Bdate, Super_ssn, Dno
44, 1, 25000, 56464, 33, 4
51, 1, 25000, 58353, 11, 4
74, 0, 25000, 60572, 101, 4
78, 1, 26000, 66680, 11, 5
145, 1, 26000, 64518, 55, 4
108, 1, 27000, 63877, 130, 1
130, 1, 27000, 56968, 134, 4
46, 1, 28000, 71679, 152, 9
40, 1, 29000, 69988, 41, 5
76, 0, 29000, 63381, 132, 2
82, 0, 29000, 71995, 87, 4
87, 0, 29000, 71750, 115, 7
96, 0, 29000, 64892, 148, 9
146, 1, 29000, 59443, 33, 2
148, 1, 29000, 59220, 148, 8
37, 0, 30000, 71509, 119, 1
84, 0, 30000, 58903, 104, 8
1, 0, 31000, 57708, 154, 2
85, 1, 31000, 64305, 141, 9
110, 0, 31000, 71977, 61, 10
30, 0, 32000, 57387, 99, 10
35, 0, 32000, 67973, 42, 10
49, 1, 35000, 55058, 120, 4
6, 1, 37000, 61822, 48, 2
57, 1, 37000, 71729, 37, 7
60, 1, 38000, 56460, 153, 6
39, 1, 40000, 68245, 143, 2
53, 0, 40000, 69016, 73, 4
106, 0, 40000, 62914, 87, 1
121, 1, 40000, 62636, 128, 4
33, 1, 41000, 57712, 153, 1
80, 0, 41000, 68304, 94, 6
113, 1, 41000, 70126, 100, 3
131, 1, 41000, 57083, 110, 5
147, 0, 41000, 64195, 82, 9
68, 1, 42000, 61957, 109, 1
140, 1, 42000, 59242, 112, 5
3, 0, 43000, 68005, 0, 2
8, 0, 43000, 60859, 138, 3
17, 1, 43000, 69870, 55, 7
50, 1, 43000, 55390, 17, 4
124, 1, 43000, 67451, 35, 8
123, 0, 44000, 69474, 158, 1
128, 0, 44000, 70533, 46, 2
0, 1, 45000, 71639, 119, 2
71, 0, 45000, 57186, 104, 6
81, 0, 45000, 60645, 142, 2
93, 0, 45000, 66703, 93, 7
122, 1, 45000, 71858, 97, 3
32, 0, 46000, 71797, 3, 7
67, 0, 47000, 65732, 133, 3
75, 0, 47000, 59500, 62, 3
116, 1, 47000, 66162, 53, 5
150, 0, 47000, 61609, 34, 6
16, 0, 50000, 57585, 86, 4
156, 0, 50000, 64158, 0, 5
100, 0, 51000, 60241, 49, 7
98, 0, 52000, 56784, 67, 5
45, 0, 53000, 71470, 45, 7
72, 1, 53000, 63735, 152, 8
5, 0, 54000, 62810, 33, 7
29, 1, 54000, 69217, 82, 1
56, 0, 54000, 55877, 131, 5
92, 1, 54000, 65889, 153, 4
139, 0, 54000, 55239, 44, 9
94, 1, 55000, 61014, 11, 9
155, 0, 55000, 67214, 42, 10
62, 0, 57000, 71848, 130, 8
134, 1, 57000, 60124, 119, 1
18, 0, 58000, 71444, 85, 10
125, 0, 58000, 71333, 101, 1
19, 0, 59000, 67733, 142, 10
21, 0, 59000, 61975, 66, 2
34, 1, 59000, 64729, 120, 7
77, 1, 59000, 69079, 41, 4
89, 0, 59000, 66771, 127, 7
126, 0, 59000, 64042, 122, 5
59, 0, 60000, 65008, 144, 5
70, 0, 60000, 58098, 113, 4
135, 1, 60000, 64978, 122, 9
152, 1, 60000, 64852, 126, 6
52, 1, 61000, 67654, 110, 4
58, 0, 62000, 61576, 125, 6
109, 0, 62000, 56465, 7, 9
158, 1, 65000, 68097, 35, 3
83, 1, 66000, 61029, 20, 4
97, 1, 66000, 57565, 47, 3
142, 0, 66000, 55821, 126, 10
36, 0, 69000, 70379, 156, 9
79, 0, 69000, 56825, 138, 10
95, 1, 69000, 69825, 146, 10
24, 0, 70000, 62508, 95, 1
11, 1, 71000, 66054, 146, 10
47, 1, 71000, 62975, 75, 8
63, 1, 71000, 56336, 26, 7
101, 0, 71000, 62431, 74, 10
157, 0, 71000, 64818, 72, 6
12, 1, 72000, 65088, 121, 4
14, 0, 72000, 62639, 138, 3
91, 0, 72000, 63716, 127, 8
154, 1, 72000, 57103, 86, 5
38, 0, 74000, 57057, 98, 4
143, 0, 74000, 61236, 25, 1
144, 0, 74000, 58537, 92, 8
27, 1, 75000, 61024, 5, 6
137, 1, 75000, 71711, 142, 3
15, 0, 76000, 70748, 93, 4
25, 1, 76000, 65034, 143, 7
114, 0, 76000, 57423, 77, 3
141, 1, 76000, 59500, 11, 9
88, 1, 78000, 57338, 125, 8
107, 1, 78000, 70406, 3, 9
153, 0, 78000, 66146, 76, 4
159, 1, 78000, 62940, 2, 1
22, 1, 79000, 64198, 118, 10
13, 1, 80000, 66976, 136, 7
117, 0, 80000, 67399, 158, 4
10, 1, 84000, 55704, 16, 10
48, 0, 84000, 64002, 136, 1
61, 0, 84000, 66266, 153, 5
102, 0, 84000, 63958, 101, 3
118, 0, 84000, 65740, 50, 10
64, 1, 86000, 70502, 118, 7
86, 0, 86000, 61757, 3, 9
112, 0, 86000, 60779, 71, 5
138, 0, 86000, 70824, 7, 1
149, 0, 86000, 71217, 41, 4
69, 1, 87000, 62662, 126, 1
20, 1, 88000, 70428, 90, 8
54, 1, 88000, 56168, 127, 9
115, 0, 88000, 63042, 113, 10
2, 0, 89000, 63168, 82, 4
111, 0, 89000, 56137, 2, 9
9, 0, 90000, 58104, 7, 4
133, 0, 90000, 60689, 145, 8
99, 0, 91000, 63209, 30, 8
129, 0, 91000, 62305, 21, 2
66, 0, 92000, 65233, 109, 9
103, 0, 92000, 66366, 133, 5
127, 1, 93000, 65350, 51, 2
31, 0, 94000, 61701, 22, 3
41, 1, 94000, 69288, 130, 9
7, 1, 95000, 68013, 85, 2
28, 1, 95000, 69287, 74, 2
43, 1, 95000, 68060, 126, 7
90, 1, 95000, 70739, 117, 9
42, 0, 96000, 59295, 151, 2
55, 1, 96000, 55632, 51, 6
65, 0, 96000, 60460, 22, 3
105, 0, 96000, 68592, 124, 10
151, 1, 96000, 56944, 143, 7
132, 1, 98000, 60586, 136, 4
26, 1, 99000, 66231, 28, 4
119, 1, 99000, 63458, 108, 1
136, 1, 99000, 67463, 153, 6
4, 0, 100000, 66706, 150, 9
23, 1, 100000, 64220, 133, 2
73, 1, 100000, 61449, 62, 6
104, 1, 100000, 55432, 8, 1
120, 1, 100000, 70027, 92, 7
